Player Details,,,,,,Splits,Rushing,,,,,,,Advanced,,,,,,,,,,,,,Zone Concept,,,,,,Man/Gap Concept,,,,,,FPTS,,,
Rank,Name,Team,POS,G,Season,CONCEPT,ATT,YDS,RuYDS/G,YPC,TD,FUM,1D,EXP RUN %,EXP YDS,EXP YDS %,i5 %,TD RATE,Success %,STUFF %,MTF,MTF/ATT,YACO,YACO/ATT,YACO %,YBCO/ATT,ATT,ATT %,YDS,TD,YPC,Success %,ATT,ATT %,YDS,TD,YPC,Success %,FP/G,FP,XFP,XFP/G
YACO,Yards After Contact on Carries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO/ATT,Yards After Contact per Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YACO %,Percentage of Yards that come After Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCO/ATT,Yards Before Contact per Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Zone Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT %,Zone Attempts Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Zone Yards Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Zone Touchdowns Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPC,Zone Yards per Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success %,Zone Attempts Success Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT,Man/Gap Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT %,Man/Gap Attempts Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDS,Man/Gap Yards Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,Man/Gap Touchdowns Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPC,Man/Gap Yards per Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success %,Man/Gap Attempts Success Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP/G,Fantasy Points per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP,Fantasy Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XFP,Expected Fantasy Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XFP/G,Expected PPR Fantasy Points per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
